Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,Density_calc,dHmix,dSmix,dGmix,Tm,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Homogenization_Temp,Homogenization_Time,Annealing_Time_(min),Phases
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.04,0.2,0.0,0.26,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.71,-4.86,13.46,601.2169546,2316.49,6.41,4.5,0.11,4.34,1,1400.0,120.0,1440.0,1
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.04,0.2,0.0,0.26,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.71,-4.86,13.46,601.2169546,2316.49,6.41,4.5,0.11,4.34,1,1400.0,120.0,1440.0,1
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.04,0.2,0.0,0.26,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.71,-4.86,13.46,601.2169546,2316.49,6.41,4.5,0.11,4.34,1,1400.0,120.0,1440.0,1
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.57,-13.6,13.38,555.5965658,2140.09,2.11,4.87,0.23,4.8,1,1200.0,120.0,1200.0,2
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.57,-13.6,13.38,555.5965658,2140.09,2.11,4.87,0.23,4.8,1,1200.0,120.0,1200.0,2
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.57,-13.6,13.38,555.5965658,2140.09,2.11,4.87,0.23,4.8,1,1200.0,120.0,1200.0,2
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.57,-13.6,13.38,555.5965658,2140.09,2.11,4.87,0.23,4.8,1,1200.0,120.0,1200.0,2
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.57,-13.6,13.38,555.5965658,2140.09,2.11,4.87,0.23,4.8,1,1200.0,120.0,1200.0,2
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.85,-15.12,12.51,556.3368171,2135.79,1.77,3.07,0.08,4.2,1,1200.0,120.0,1440.0,1
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.85,-15.12,12.51,556.3368171,2135.79,1.77,3.07,0.08,4.2,1,1200.0,120.0,1440.0,1
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.85,-15.12,12.51,556.3368171,2135.79,1.77,3.07,0.08,4.2,1,1200.0,120.0,1440.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.431908695,2.36,12.84151644,557.1020651,2141.385887,13.13826368,4.915964063,0.118594899,4.3,1,1200.0,120.0,60.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.431908695,2.36,12.84151644,557.1020651,2141.385887,13.13826368,4.915964063,0.118594899,4.3,1,1200.0,120.0,60.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.431908695,2.36,12.84151644,557.1020651,2141.385887,13.13826368,4.915964063,0.118594899,4.3,1,1200.0,120.0,60.0,1
